transaction_id,date,description,amount,currency,account_type,status,merchant,location,device,ip_address,random_text,irrelevant_col1,irrelevant_col2
6f5a58a5-3c59-4370-930e-89ffadb2fc5c,2004-11-09,UPI SWIGGY,11034.0,INR,Current,Failed,Lewis and Sons,New Carlosview,ATM,166.110.127.24,"Commercial guy young local.
Try determine check. Choose base mention sometimes instead. Ahead day affect recent.",763,Courtney Carpenter
44a5b80a-d186-452d-a4e2-00afab94a930,2012-06-14,CRYPTO SALE,-30241.0,INR,Savings,Pending,Flynn Ltd,Lake Morgan,Mobile,204.123.109.68,"Lose argue the. Industry moment record night capital. See over although political partner middle understand material.
Decide upon author.",580,John Davis
fd010a8b-61a9-48f0-b761-417797853d04,2015-09-18,GYM MEMBERSHIP,-11962.0,EUR,Current,Completed,Gonzalez-Schultz,Michelleview,ATM,41.28.68.129,Price strategy reveal mouth city middle. Off morning know important air item small. Thing available daughter yes.,386,James Underwood
4fbefcfe-887f-406e-891f-d0891675b062,1985-06-24,GYM MEMBERSHIP REF987,3265.0,INR,Savings,Pending,"Williams, Miller and Brown",Mariaberg,Web,10.209.192.155,Take material letter tough art old. Anything only owner almost Mr community particularly. Production win recently instead war.,298,Susan Myers
ac006b52-b1c6-4e77-8c89-b1bdfeeb820b,2003-04-08,NEFT CR SALARY,,USD,Credit,Pending,"Campbell, Reese and Manning",East Traciview,Web,6.189.192.130,Lose body form behind minute air. Feeling experience approach. Its condition million recognize article.,539,Andrew Murphy
f049f4d0-a263-4890-b685-560fb4144f0a,1994-05-05,GYM MEMBERSHIP REF987,10557.0,USD,Savings,Pending,Richardson Inc,Ramosfurt,Mobile,8.136.30.6,"Development commercial player yet season realize. Market area away hundred.
Industry pass threat state. Your last certainly protect offer.",318,Dawn Velasquez
fb573342-7cdc-494c-a9c6-9942aa0cd9ab,2003-10-20,AMAZON PURCHASE XYZ,18410.0,USD,Current,Failed,Curtis Ltd,Stewartshire,ATM,38.236.242.222,Edge help us response. Vote view your reach natural pattern arm successful. Total particular involve what collection determine apply walk.,71,Allison Smith
e7cbe21f-d914-4ccb-883a-4e1d151d0def,2001-11-09,DIVIDEND CREDIT,23692.0,INR,Savings,Completed,"Goodman, Alexander and Diaz",Robbinsside,Mobile,75.177.235.116,"Relate cost drug record we. Risk accept quality institution affect boy. Future who difference soon tax.
Table result billion buy sit.",719,Laura Vasquez
eebe56d7-7128-4b69-aea5-1b6062ab293d,1998-10-09,DIVIDEND CREDIT REF987,86114.0,EUR,Current,Completed,Morales-Davis,Lake Cynthiaborough,ATM,174.217.97.36,Gas decade meeting tonight attack American become. Wear start everyone. Usually do order leader officer interview. Customer theory set reality authority trouble.,477,Christopher Ritter
ab3b919a-84a2-441e-9157-2b53bdf8d49f,2015-12-08,UPI SWIGGY,23184.0,USD,Current,Pending,"Wolf, Klein and Guerrero",North Nicole,Mobile,199.13.150.105,"Own already wide similar win exactly. Team smile strong everybody.
Environmental health wear research. Story main true consumer. Six product yeah rather she state.",25,Eric Garner
78155790-bc34-4ceb-9ca6-0f4c4a76d9ff,2023-01-18,RENT PAYMENT,-36474.0,INR,Savings,Failed,Brown Inc,Kimport,Web,19.26.5.172,"Executive long effort. Often until trouble reality general.
Give very hospital authority society. School those collection medical best.",171,Shelby Thornton
1130f4b1-fab2-49cb-a1a5-b81006bbe6bb,1974-12-09,UPI SWIGGY REF987,-42878.0,INR,Current,Completed,Decker LLC,New Jackfort,Mobile,93.66.139.236,Several national total. Southern defense each above might together. Huge anyone image assume like. The win painting case case capital concern.,407,Janice Morris
56a8163f-5268-4c47-ac42-2d80f71eb83e,2005-04-27,ELECTRICITY BILL REF987,-1968.0,INR,Savings,Failed,"Matthews, Marks and Curry",West Brittanymouth,Mobile,51.58.178.93,Old responsibility ahead buy reduce require word skill. Decide people image production south they.,666,Teresa Davis
68f93301-303a-49a6-947c-751a877cdb6d,2014-08-09,NEFT CR SALARY REF987,476.0,INR,Credit,Pending,Young Ltd,North Stephanieberg,Mobile,155.64.10.49,"Candidate remain weight writer note affect factor. Republican one listen much. Affect late relationship structure know mention notice long.
Sign guess past. Rather tell old no field pay.",26,Katherine Tucker
ea68619b-8240-4dc2-bc66-1ee7bf867b4c,1999-07-02,EMI PAYMENT HDFC XYZ,56116.0,EUR,Savings,Completed,Williams-King,Port Michele,Web,79.219.197.112,Thousand floor oil center up her. Wall finally society fact war. Per upon people moment land actually.,121,Phyllis Craig
